device,ubicacion,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:44:55.635198,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,1.978,637.13908,574.295504,805046444,592718883,,,,,Telca,200.229.10.81,2bb18d8d-3cb5-4b9d-bb42-7aa738128347,https://www.speedtest.net/result/c/2bb18d8d-3cb5-4b9d-bb42-7aa738128347,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:45:35.444529,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.482,644.290704,523.814176,970281200,896431219,,,,,Telca,200.229.10.81,32576686-3d86-4187-8073-a1220b5d9966,https://www.speedtest.net/result/c/32576686-3d86-4187-8073-a1220b5d9966,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:51:04.897457,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.311,634.149376,567.7912,780060812,636033301,,,,,Telca,200.229.10.81,4546492f-9903-4d3c-86ea-66a417031156,https://www.speedtest.net/result/c/4546492f-9903-4d3c-86ea-66a417031156,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:51:33.986485,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.442,23.398824,441.40552,29255368,349730253,,,,,Telca,200.229.10.81,962ad30e-443d-4cb3-a261-aedd2177c911,https://www.speedtest.net/result/c/962ad30e-443d-4cb3-a261-aedd2177c911,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:57:03.579144,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.037,634.51052,566.738424,786846592,621934599,,,,,Telca,200.229.10.81,faaf37e1-aa85-4bcb-b56f-9eaadc7a5729,https://www.speedtest.net/result/c/faaf37e1-aa85-4bcb-b56f-9eaadc7a5729,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T22:57:43.624110,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.688,58.414136,547.377304,94028138,974663677,,,,,Telca,200.229.10.81,e8ab259d-6f26-4aa2-bbb7-bf5beb1ef490,https://www.speedtest.net/result/c/e8ab259d-6f26-4aa2-bbb7-bf5beb1ef490,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:03:13.258912,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.323,636.286464,565.136648,798022864,594769094,,,,,Telca,200.229.10.81,717c35fd-6732-42b1-98c1-27605c75a337,https://www.speedtest.net/result/c/717c35fd-6732-42b1-98c1-27605c75a337,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:03:54.303275,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.432,23.888072,632.482544,45067352,1057610483,,,,,Telca,200.229.10.81,7c130684-a825-46c8-ac0e-a863da8877c6,https://www.speedtest.net/result/c/7c130684-a825-46c8-ac0e-a863da8877c6,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:09:24.385465,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.43,637.103184,569.336536,813881036,637707458,,,,,Telca,200.229.10.81,bd5212b1-3163-4bc7-937c-384b88c4ab6e,https://www.speedtest.net/result/c/bd5212b1-3163-4bc7-937c-384b88c4ab6e,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:09:53.211984,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.493,23.403472,484.92012,36506881,372727757,,,,,Telca,200.229.10.81,76a8c65c-7abf-47a4-bd30-be29d958c7dd,https://www.speedtest.net/result/c/76a8c65c-7abf-47a4-bd30-be29d958c7dd,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:15:22.772192,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.211,636.845584,563.65932,796800072,590063664,,,,,Telca,200.229.10.81,14dd475b-187c-453a-a250-486b4cd18001,https://www.speedtest.net/result/c/14dd475b-187c-453a-a250-486b4cd18001,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:16:01.551492,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.431,26.047416,568.12404,47652316,807975227,,,,,Telca,200.229.10.81,c85deb85-1b6a-40b5-ac72-cccf5a9a34c0,https://www.speedtest.net/result/c/c85deb85-1b6a-40b5-ac72-cccf5a9a34c0,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:21:31.220041,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.206,637.301024,570.201552,797003400,626654737,,,,,Telca,200.229.10.81,85b261ca-67ae-408f-bc1d-27faef02f01a,https://www.speedtest.net/result/c/85b261ca-67ae-408f-bc1d-27faef02f01a,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:22:05.252066,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.447,22.607496,551.72512,19500620,964884599,,,,,Telca,200.229.10.81,609108e3-9767-4509-932c-275f8dbbe409,https://www.speedtest.net/result/c/609108e3-9767-4509-932c-275f8dbbe409,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:27:34.996389,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.294,637.778392,572.026984,798959020,626948862,,,,,Telca,200.229.10.81,9a392a02-c63e-4f6c-a537-731c258f6997,https://www.speedtest.net/result/c/9a392a02-c63e-4f6c-a537-731c258f6997,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:28:08.142395,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",45.392,641.768752,475.296448,930228564,555470867,,,,,Telca,200.229.10.81,10864004-c8c2-464b-83d3-aab603ee7a0f,https://www.speedtest.net/result/c/10864004-c8c2-464b-83d3-aab603ee7a0f,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:33:37.927724,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.336,638.098232,560.92416,806455036,588172718,,,,,Telca,200.229.10.81,3a8367c3-27fb-4e6d-ad21-076bb50f71e0,https://www.speedtest.net/result/c/3a8367c3-27fb-4e6d-ad21-076bb50f71e0,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:34:15.994087,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.121,28.76636,582.831088,54734908,778800189,,,,,Telca,200.229.10.81,85a66b03-6ad6-48df-8d38-85fadf1b7481,https://www.speedtest.net/result/c/85a66b03-6ad6-48df-8d38-85fadf1b7481,official
OLT David Sur 1,"8.368765584483095, -82.40307918757539",2025-08-25T23:39:46.028252,68071,Telca Telecomunicaciones,Panama,,speedtest.telca.pa,Panama,2.439,637.828296,569.335976,806822156,626471289,,,,,Telca,200.229.10.81,718420c7-9fcc-40bb-8781-32dc1ca29035,https://www.speedtest.net/result/c/718420c7-9fcc-40bb-8781-32dc1ca29035,official
